name,address,city,zip,sra_id,sra
Twin Peaks Middle,14640 Tierra Bonita Road,Poway,92064,15,POWAY
Tierra Bonita Elementary,14678 Tierra Bonita Road,Poway,92064,15,POWAY
Abraxas Continuation High,12450 Glenoak Road,Poway,92064,15,POWAY
Adobe Bluffs Elementary,8707 Adobe Bluffs Drive,San Diego,92129,13,DEL MAR-MIRA MESA
Los Penasquitos Elementary,14125 Cuca Street,San Diego,92129,14,NORTH SAN DIEGO
Black Mountain Middle,9353 Oviedo Street,San Diego,92129,14,NORTH SAN DIEGO
Sunset Hills Elementary,9291 Oviedo Street,San Diego,92129,14,NORTH SAN DIEGO
Mt. Carmel High,9550 Carmel Mountain Road,San Diego,92129,14,NORTH SAN DIEGO
Shoal Creek Elementary,11775 Shoal Creek Drive,San Diego,92128,14,NORTH SAN DIEGO
Midland Elementary,13910 Midland Road,Poway,92064,15,POWAY
Meadowbrook Middle,12320 Meadowbrook Lane,Poway,92064,14,NORTH SAN DIEGO
Deer Canyon Elementary,13455 Russet Leaf Lane,San Diego,92129,13,DEL MAR-MIRA MESA
Mesa Verde Middle,8375 Entreken Way,San Diego,92129,13,DEL MAR-MIRA MESA
Sundance Elementary,8944 Twin Trails Drive,San Diego,92129,13,DEL MAR-MIRA MESA
Torrey Pines High,3710 Del Mar Heights Road,San Diego,92130,13,DEL MAR-MIRA MESA
Pomerado Elementary,12321 Ninth Street,Poway,92064,14,NORTH SAN DIEGO
Ashley Falls Elementary,13030 Ashley Falls Drive,San Diego,92130,13,DEL MAR-MIRA MESA
Garden Road Elementary,14614 Garden Road,Poway,92064,15,POWAY
Solana Highlands Elementary,3520 Long Run Drive,San Diego,92130,13,DEL MAR-MIRA MESA
Del Mar Hills Elementary,14085 Mango Drive,Del Mar,92014,13,DEL MAR-MIRA MESA
Valley Elementary,13000 Bowron Road,Poway,92064,15,POWAY
Morning Creek Elementary,"10925 Morning Creek Drive, South",San Diego,92128,14,NORTH SAN DIEGO
Carmel Creek Elementary,4210 Carmel Center Road,San Diego,92130,13,DEL MAR-MIRA MESA
Carmel Valley Middle,3800 Mykonos Lane,San Diego,92130,13,DEL MAR-MIRA MESA
Canyon View Elementary,9225 Adolphia Street,San Diego,92129,14,NORTH SAN DIEGO
Del Mar Heights Elementary,13555 Boquita Drive,Del Mar,92014,13,DEL MAR-MIRA MESA
Creekside Elementary,12362 Springhurst Drive,San Diego,92128,15,POWAY
Carmel Del Mar Elementary,12345 Carmel Park Drive,San Diego,92130,13,DEL MAR-MIRA MESA
Park Village Elementary,7930 Park Village Road,San Diego,92129,13,DEL MAR-MIRA MESA
Dingeman Elementary,11840 Scripps Creek Drive,San Diego,92131,15,POWAY
Marshall Middle,9700 Avenue of Nations,San Diego,92131,17,ELLIOTT-NAVAJO
Ericson Elementary,11174 Westonhill Drive,San Diego,92126,13,DEL MAR-MIRA MESA
