tract,sra_id,sra,hpi2022,totpop,tothhs,bmi30plus_pct,cancer_pct,copd_pct,chd_pct,diabetes_pct,hbp_pct,stroke_pct,hispanic_pct,nonhisp_pct,aian_pct,asian_pct,black_pct,nhpi_pct,white_pct,race_other_pct,hhs_snap_pct,active_commute,auto_access,insurance,lowincome_bin,median_income,lowphysactiv_pct,park_access,supermkt_access,transit_access,walkability,num_full_restaurants,num_fast_food,num_snack_nonalcbev_bars
6073007200,2,PENINSULA,0.595714337,6092,1511,0.187,0.065,0.041,0.044,0.06,0.234,0.022,0.1231,0.8769,0.003,0.0322,0.0115,0.0021,0.8946,0.0126,0.0,0.20461869,0.961,1.11688013,No,149583.0,0.127,1.0,0.600663528,0.0,13.08708758,2,0,1
6073007301,2,PENINSULA,0.557437328,5268,2629,0.213,0.045,0.033,0.029,0.046,0.198,0.015,0.142,0.858,0.0,0.0192,0.0,0.0,0.951,0.0133,0.0194,0.05808236,0.994,0.194289302,No,88281.0,0.12,1.0,0.789749477,0.0,15.63075592,13,3,5
6073007302,2,PENINSULA,0.706755592,2127,863,0.212,0.079,0.045,0.05,0.072,0.281,0.024,0.0701,0.9299,0.0,0.0268,0.0038,0.0,0.9205,0.0277,0.0301,0.01754386,0.967,0.802717522,No,133958.0,0.131,0.600485437,0.069132665,0.0,12.85292793,0,0,0
6073007400,2,PENINSULA,0.418384031,7014,3053,0.223,0.052,0.039,0.036,0.057,0.221,0.019,0.1625,0.8375,0.0294,0.0399,0.0044,0.0026,0.8499,0.0344,0.0328,0.083869431,0.973,0.254722303,No,80121.0,0.135,0.991805766,0.749348969,0.0,14.8703531,6,3,5
6073007501,2,PENINSULA,0.216887923,3684,2136,0.245,0.038,0.04,0.031,0.051,0.195,0.017,0.221,0.779,0.0033,0.0122,0.0106,0.0027,0.9055,0.0296,0.0229,0.111509502,0.951,0.418424184,No,69563.0,0.152,1.0,0.875092151,0.0,15.3459702,15,5,7
6073007502,2,PENINSULA,0.566225326,3256,1625,0.217,0.04,0.03,0.027,0.044,0.18,0.014,0.1268,0.8732,0.0111,0.0408,0.0157,0.0,0.8701,0.0166,0.0412,0.094154395,0.872,-0.122030692,No,62300.0,0.118,1.0,0.99852381,0.0,16.46929134,49,6,18
6073007600,11,COASTAL,0.394153484,4667,2390,0.202,0.049,0.037,0.037,0.054,0.218,0.018,0.0763,0.9237,0.0,0.0,0.0094,0.0139,0.934,0.0071,0.0356,0.119360131,0.957,-0.39445926,No,70797.0,0.126,1.0,0.456761399,0.178348493,14.41438404,83,20,28
6073007701,11,COASTAL,0.48454862,4074,2154,0.194,0.049,0.029,0.031,0.045,0.201,0.015,0.1166,0.8834,0.0066,0.0422,0.002,0.0032,0.9173,0.0152,0.007,0.089909134,0.916,-1.115164355,No,72070.0,0.106,1.0,0.370506897,0.499864974,14.87215321,4,3,3
6073007702,11,COASTAL,0.462260129,3957,2139,0.189,0.039,0.026,0.024,0.036,0.161,0.012,0.0776,0.9224,0.0,0.0265,0.0013,0.0043,0.9426,0.0157,0.0785,0.023648649,0.975,0.010849027,No,74028.0,0.107,1.0,0.308753918,0.382436997,13.41375519,5,0,0
6073007800,11,COASTAL,0.302834372,6067,2454,0.221,0.037,0.03,0.026,0.046,0.179,0.014,0.2609,0.7391,0.0,0.0361,0.0364,0.0,0.8729,0.014,0.0603,0.046008869,0.959,0.22031259,No,76304.0,0.132,1.0,0.32235678,0.892382949,15.01246156,7,6,3
6073007903,11,COASTAL,0.324962562,4660,2333,0.208,0.038,0.029,0.027,0.041,0.174,0.014,0.1255,0.8745,0.0,0.0624,0.0069,0.0,0.8753,0.0212,0.0304,0.093635699,0.988,-0.057073542,No,71637.0,0.118,1.0,1.0,1.0,15.55592417,22,10,12
6073003403,5,SOUTHEASTERN SAN DIEGO,-0.593561216,3726,1090,0.31,0.041,0.056,0.054,0.128,0.296,0.034,0.7037,0.2963,0.0,0.0904,0.1224,0.0,0.6651,0.0572,0.2037,0.091836735,0.959,-2.179439151,Yes,49477.0,0.3,0.955638571,0.0,1.0,14.31738946,8,1,0
6073003404,5,SOUTHEASTERN SAN DIEGO,-0.696658252,5520,1202,0.321,0.041,0.069,0.065,0.152,0.318,0.041,0.7821,0.2179,0.0045,0.0226,0.1326,0.0112,0.6855,0.1034,0.2113,0.060268892,0.903,-1.674406518,Yes,46923.0,0.341,0.901596893,0.412312511,1.0,13.99028733,19,1,9
6073003501,5,SOUTHEASTERN SAN DIEGO,-0.95135818,4739,1070,0.347,0.038,0.065,0.059,0.139,0.293,0.037,0.8253,0.1747,0.0013,0.0053,0.0688,0.0,0.5638,0.3176,0.2907,0.094823168,0.922,-3.558121739,Yes,37050.0,0.338,1.0,0.359919401,1.0,14.64106868,1,0,1
6073003502,5,SOUTHEASTERN SAN DIEGO,-0.767924886,4491,1299,0.348,0.042,0.066,0.062,0.145,0.32,0.039,0.8159,0.1841,0.0,0.0111,0.1053,0.0,0.3897,0.4384,0.2448,0.155949367,0.885,-1.431237484,Yes,35911.0,0.333,1.0,0.643340218,1.0,13.36136213,3,2,1
6073003601,5,SOUTHEASTERN SAN DIEGO,-0.80761678,2896,727,0.36,0.037,0.067,0.062,0.147,0.305,0.037,0.9496,0.0504,0.0,0.0,0.048,0.0,0.5183,0.4237,0.2957,0.096040438,0.888,-2.158616064,Yes,39469.0,0.363,1.0,0.653880624,1.0,14.83333333,5,0,0
6073003602,5,SOUTHEASTERN SAN DIEGO,-0.676326959,3244,763,0.307,0.038,0.049,0.046,0.112,0.281,0.028,0.8493,0.1507,0.0,0.0268,0.0808,0.0,0.4525,0.3924,0.2189,0.088607595,0.953,-1.663183929,Yes,54375.0,0.285,1.0,0.920664467,1.0,13.89542484,5,1,2
6073003603,5,SOUTHEASTERN SAN DIEGO,-0.710562343,4118,1033,0.318,0.041,0.058,0.058,0.132,0.307,0.033,0.8876,0.1124,0.0019,0.061,0.0493,0.0,0.5318,0.3504,0.1936,0.050469484,0.965,-1.755580037,Yes,50236.0,0.321,0.807710501,0.677196869,1.0,13.07439734,0,1,0
6073003901,1,CENTRAL SAN DIEGO,-0.876653788,4353,1049,0.349,0.036,0.063,0.057,0.135,0.303,0.035,0.8617,0.1383,0.0014,0.0315,0.0845,0.0,0.4712,0.4002,0.2755,0.170040486,0.854,-2.462993726,Yes,40250.0,0.34,1.0,1.0,1.0,14.25491754,7,0,2
